Team,Minute,xGValue,CumulativexG
Chelsea,0,0,0
Chelsea,7,0.42,0.42
Chelsea,15,0.02,0.44
Chelsea,39,0.05,0.49
Chelsea,47,0.66,1.15
Chelsea,47,0.12,1.27
Chelsea,60,0.7,1.97
Chelsea,63,0.28,2.25
Chelsea,68,0.03,2.28
Chelsea,72,0.06,2.34
Chelsea,79,0.04,2.38
Chelsea,95,0,2.38
Liverpool,0,0,0
Liverpool,22,0.02,0.02
Liverpool,31,0.01,0.03
Liverpool,37,0.04,0.07
Liverpool,42,0.07,0.14
Liverpool,49,0.1,0.24
Liverpool,52,0.08,0.32
Liverpool,54,0.4,0.72
Liverpool,56,0.08,0.8
Liverpool,83,0.16,0.96
Liverpool,91,0.49,1.45
Liverpool,95,0,1.45
